项目,主题,问题类型,优先级,描述
日常维护版本,IPO申购情况报表中统计配债的成交数量时，统计了配股和配债产品的成交总数,,低,IPO申购情况报表中统计配债的成交数量时，预期统计当日配债产品成交总数，实际统计了配股和配债产品的成交总数
新公司业务管理系统,【日常信息披露评价】日常信息披露列表中，评价年度中没有“全部”这个选项,缺陷,低,"【日常信息披露评价】日常信息披露列表中，评价年度中没有“全部”这个选项
重现步骤：
1、登录内部审核人员，首页>监管工作>信息披露评价>日常信息披露评价 
2、进入日常信息披露评价，选择评价年度
预期结果：
评价年度中，有“全部”、“2016”和“2017”三个选项
实际结果：
评价年度中，只有“2016”和“2017”两个选项
备注：原因为G_CODE表里缺少“全部”字段

"
日常维护版本,IPO申购情况报表中统计配债的成交数量时只统计单笔订单的成交数量,,低,IPO申购情况报表中统计配债的成交数量，预期统计当日配债产品成交总数，实际只统计单笔订单的成交数量
新基金业务管理系统,【上证基金通发售变更】：基金公司发起申请，审核通过通知单认购代码字段内容错误,缺陷,高,"步骤重现：
前提条件：上证基金通已发售证券
1.基金公司登录系统
2.首页>业务操作>上证基金通>发售变更
3.填写申请单，提交
4.审核人员审核通过，发送通知单
查看通知单内容：
预期结果：认购代码：为代码申请时的认购代码
          认购代码：为代码申请时的认购简称"
新公司业务管理系统,【日常信息披露评价】日常信息披露列表页面字段“已转换分数”与需求“已转换分值”不一致,优化,低,"【日常信息披露评价】日常信息披露列表页面字段“已转换分数”与需求“已转换分值”不一致
重现步骤：
1、登录初审，监管日志->日常信息披露（按公司）
预期结果：
日常信息披露列表页面字段与需求一致，为“已转换分值”
实际结果：
日常信息披露列表页面字段“已转换分数”与需求“已转换分值”不一致"
日常维护版本,RPTEI003报表在统计R4类型的订单时，申购数显示不正确,,低,"测试步骤：
1、当日申购R4类型订单量为40（全部成交）

预期结果：
在rptei003中，申购数为40
           字段                                值
           ------------------------------      -----------------------
  (1)      证券代码：                          760010
  (2)      证券名称：                          760010
  (3)      上市代码：                          600010
  (4)      公开发行类型：                      R4
  (5)      发行日期：                          2007/03/16 - 2007/03/16
  (6)      发行数量（股票：股；债券：手）：    0
  (7)      发行价格（元）：                    0.000
  (8)      申购数（股票：股；债券：手）：      40

实际结果：
在rptei003中，申购数为10
           字段                                值
           ------------------------------      -----------------------
  (1)      证券代码：                          760010
  (2)      证券名称：                          760010
  (3)      上市代码：                          600010
  (4)      公开发行类型：                      R4
  (5)      发行日期：                          2007/03/16 - 2007/03/16
  (6)      发行数量（股票：股；债券：手）：    0
  (7)      发行价格（元）：                    0.000
  (8)      申购数（股票：股；债券：手）：      10
  
  
                                                      "
新基金业务管理系统,【ETF退市】录入摘牌阶段，主办上传红利发送通知，不能点击查看,优化,普通,"操作步骤：
1.基金公司新建退市申请，主办审核通过，复审审核通过
2.主办录入摘牌日期，在录入页面，上传中登《ETF基金清盘红利发放通知》，上传成功后，点击文件名查看

期望结果：可打开查看文件内容
实际结果：点击文件无反应，不能查看"
新基金业务管理系统,【业务流程查询】查看业务流程为基金管理人更名的记录时报404,缺陷,高,"前提：存在基金管理人更名记录
重现步骤：
1.所内人员登录，进入统计与查询>业务流程查询页面
2.点击业务流程名称为“基金管理人更名”记录的【查看】
预期结果：显示该记录详情信息
实际结果：页面报错，显示404"
新基金业务管理系统,【信息披露】关键字查询没有对特殊字符做限制,优化,低,"前提：公告信息列表中存在记录
重现步骤：
1.在查询项关键字中输入“####”、“&&&”、“+++++”、“_”等
2.点击【查询】
预期结果：查询出符合条件的结果或查询无结果
实际结果：查询结果显示全部记录
备注：所内非直通车和直通车页面有同样问题，请统一修改"
新基金业务管理系统,【通用功能】：申请单中无格式要求，只有长度要求的字段只输入空格也可以提交成功,优化,普通,"步骤重现：
1.基金公司/产品创新中心登录系统
2.选任意流程做申请单
3.打开填写申请单页面
4.对无格式要求，只有长度要求的字段只输入空格，其余内容填写正确
5.点击提交按钮
预期结果：提交时弹出相关提示，确认是否继续
实际结果：提交成功
"
新基金业务管理系统,基金分红-初审者：中登所发通知单扫描件-上传PDF文件的大小无限制,优化,低,"步骤重现：
1.基金公司/产品创新中心登录系统
2.首页—》业务办理—》ETF基金—》变更标的指数—》 业务办理申请
3.填写基金分红申请；点击提交；
4.初审着登陆：首页—》业务办理—》其他:基金分红—》点击待审核基金分红申请单—》中登所发通知单扫描件
预期结果：上传文件做限制大小提示
实际结果：上传过大文件无限制提示，文件过大上传过程系统响应过慢"
新公司业务管理系统,【日常信息披露评价】上市公司及相关主体承诺信息披露记录中相关事件名不一致,缺陷,低,"【日常信息披露评价】上市公司及相关主体承诺信息披露记录中相关事件名不一致
问题重现步骤：
1、登录上市公司，资料填报->上市公司及相关主体承诺，填写内容并保存提交
2、登录初审，监管工作->上市公司及相关主体承诺，进行信息披露评价
3、生成一条日常信息披露评价记录，监管工作->日常信息披露评价，切换到按时间显示日常信息披露评价中
预期结果：
相关事件的名字显示为：上市公司及相关主体承诺+年份+编号
实际结果：
相关事件的名字显示为：其他文件报送+年份+编号
"
新公司业务管理系统,【日常信息披露评价】查询页面相关事件超链接网页打开错误,缺陷,普通,"1.初审登录系统
2.点击进入首页>监管工作>信息披露评价>日常信息披露评价
3.按公司查看，选择任一项，点击查看
4.点击相关事件，进行超链接跳转
预期结果：跳转至相应页面
实际结果：跳转失败，显示网页错误
备注：信息披露评价、独立停复牌、候选独董任职资格审核"
新基金业务管理系统,【上证基金通发售变更】：查询项和列表项证券简称字段与需求不符,缺陷,低,"步骤重现：
1.基金公司/产品创新中心登录系统
2.首页>业务办理>上证基金通>发售变更/首页>业务操作>上证基金通>发售变更
3.查看查询项和列表项字段
预期结果：系统中的证券简称应为基金简称
实际结果：与需求不符

"
